Device name;OS;OS version;Last check-in;Category;Model;Serial number;DATE D'entree
PSN-25352524212905;Android (Dedicated);15;2026-07-07 12:48:14.9060000;SN - KEUR GORGUI;TC53E;25352524212905;05 juin 2026
PSN-25352524212909;Android (Dedicated);15;2026-06-11 13:30:49.0000000;SN - Entrepôt Thiaroye;TC53E;25352524212909;05 juin 2026
PSN-25352524212917;Android (Dedicated);15;2026-07-07 12:15:47.7600000;SN - E-COMMERCE;TC53E;25352524212917;05 juin 2026
PSN-25352524212918;Android (Dedicated);15;2026-07-03 12:27:36.0000000;SN - INEXTENSO OUAKAM;TC53E;25352524212918;05 juin 2026
PSN-25352524212927;Android (Dedicated);15;2026-07-07 06:47:29.2150000;SN - Entrepôt Thiaroye;TC53E;25352524212927;05 juin 2026
PSN-25352524212928;Android (Dedicated);15;2026-07-07 11:38:32.2750000;SN - Entrepôt Thiaroye;TC53E;25352524212928;05 juin 2026
PSN-25352524212932;Android (Dedicated);15;2026-07-01 16:26:21.0000000;SN - ZAC MBAO;TC53E;25352524212932;05 juin 2026
PSN-25352524212933;Android (Dedicated);15;2026-07-06 22:00:02.5240000;;TC53E;25352524212933;05 juin 2026
PSN-25352524212934;Android (Dedicated);15;2026-07-03 14:51:58.2420000;SN - CASTORS;TC53E;25352524212934;05 juin 2026
PSN-25352524212935;Android (Dedicated);15;2026-07-07 12:37:28.0830000;SN - RUFISQUE NORD;TC53E;25352524212935;05 juin 2026
PSN-25352524212937;Android (Dedicated);15;2026-07-07 08:31:27.5350000;SN - E-COMMERCE;TC53E;25352524212937;05 juin 2026
PSN-25352524212938;Android (Dedicated);15;2026-07-07 09:57:46.2330000;SN - MARISTES;TC53E;25352524212938;05 juin 2026
PSN-25352524212938;Android (Dedicated);13;2026-06-22 11:41:59.0000000;;TC53E;25352524212938;05 juin 2026
PSN-25352524212943;Android (Dedicated);15;2026-07-07 11:35:05.5160000;SN - DALIFORT;TC53E;25352524212943;05 juin 2026
PSN-25352524212944;Android (Dedicated);15;2026-07-07 12:22:05.7360000;SN - KEUR GORGUI;TC53E;25352524212944;05 juin 2026
PSN-25352524212948;Android (Dedicated);15;2026-07-07 09:19:42.8330000;SN - NORD FOIRE;TC53E;25352524212948;05 juin 2026
PSN-25352524212949;Android (Dedicated);15;2026-07-07 09:25:31.3290000;SN - Entrepôt Thiaroye;TC53E;25352524212949;05 juin 2026
PSN-25352524212953;Android (Dedicated);15;2026-07-06 22:22:09.9810000;SN - LIBERTE 5;TC53E;25352524212953;05 juin 2026
PSN-25352524212955;Android (Dedicated);15;2026-07-07 11:57:24.1710000;SN - Entrepôt Thiaroye;TC53E;25352524212955;05 juin 2026
PSN-25352524212956;Android (Dedicated);15;2026-07-07 07:00:05.9820000;SN - Entrepôt Thiaroye;TC53E;25352524212956;05 juin 2026
